zip_code,city,region,date,max_temp_f,min_temp_f,condition
90045,Los Angeles,California,2026-05-12,68.6,55.8,Patchy rain nearby
90045,Los Angeles,California,2026-05-13,67.0,60.9,Sunny
90045,Los Angeles,California,2026-05-14,68.1,60.7,Patchy rain nearby
10001,New York,New York,2026-05-12,72.0,41.9,Sunny
10001,New York,New York,2026-05-13,65.0,53.7,Moderate rain
10001,New York,New York,2026-05-14,67.1,50.8,Moderate rain
60601,Chicago,Illinois,2026-05-12,75.0,44.8,Patchy rain nearby
60601,Chicago,Illinois,2026-05-13,52.0,48.8,Patchy rain nearby
60601,Chicago,Illinois,2026-05-14,50.1,44.7,Sunny
98101,Seattle,Washington,2026-05-12,82.8,50.7,Sunny
98101,Seattle,Washington,2026-05-13,70.5,52.1,Sunny
98101,Seattle,Washington,2026-05-14,66.2,48.7,Patchy rain nearby
33101,Miami,Florida,2026-05-12,89.6,77.2,Moderate rain
33101,Miami,Florida,2026-05-13,83.9,77.0,Heavy rain
33101,Miami,Florida,2026-05-14,85.9,79.0,Patchy rain nearby
77001,Houston,Texas,2026-05-12,88.0,66.2,Sunny
77001,Houston,Texas,2026-05-13,92.2,72.6,Sunny
77001,Houston,Texas,2026-05-14,90.9,73.1,Sunny
85001,Phoenix,Arizona,2026-05-12,111.0,73.6,Sunny
85001,Phoenix,Arizona,2026-05-13,98.6,82.3,Sunny
85001,Phoenix,Arizona,2026-05-14,93.8,75.1,Sunny
19101,Philadelphia,Pennsylvania,2026-05-12,73.9,43.3,Sunny
19101,Philadelphia,Pennsylvania,2026-05-13,70.9,51.6,Moderate rain
19101,Philadelphia,Pennsylvania,2026-05-14,59.5,51.3,Moderate rain
78201,San Antonio,Texas,2026-05-12,93.7,63.9,Sunny
78201,San Antonio,Texas,2026-05-13,90.1,67.8,Sunny
78201,San Antonio,Texas,2026-05-14,90.1,66.8,Sunny
92101,San Diego,California,2026-05-12,69.3,60.1,Patchy rain nearby
92101,San Diego,California,2026-05-13,69.4,62.2,Patchy rain nearby
92101,San Diego,California,2026-05-14,65.6,61.1,Sunny
75201,Dallas,Texas,2026-05-12,89.1,59.2,Sunny
75201,Dallas,Texas,2026-05-13,88.6,67.4,Sunny
75201,Dallas,Texas,2026-05-14,90.1,69.6,Sunny
95101,San Jose,California,2026-05-12,85.6,52.0,Partly Cloudy
95101,San Jose,California,2026-05-13,67.5,48.2,Patchy rain nearby
95101,San Jose,California,2026-05-14,75.1,47.1,Sunny
78701,Austin,Texas,2026-05-12,87.8,63.0,Sunny
78701,Austin,Texas,2026-05-13,88.8,67.1,Sunny
78701,Austin,Texas,2026-05-14,89.0,67.4,Sunny
32201,Jacksonville,Florida,2026-05-12,74.1,68.0,Heavy rain
32201,Jacksonville,Florida,2026-05-13,87.2,66.3,Patchy rain nearby
32201,Jacksonville,Florida,2026-05-14,89.0,68.6,Sunny
43201,Columbus,Ohio,2026-05-12,78.8,44.8,Sunny
43201,Columbus,Ohio,2026-05-13,61.8,46.8,Moderate rain
43201,Columbus,Ohio,2026-05-14,53.7,43.3,Patchy rain nearby
28201,Charlotte,North Carolina,2026-05-12,79.9,46.6,Sunny
28201,Charlotte,North Carolina,2026-05-13,80.2,54.2,Patchy rain nearby
28201,Charlotte,North Carolina,2026-05-14,69.0,50.3,Sunny
46201,Indianapolis,Indiana,2026-05-12,79.9,43.3,Patchy rain nearby
46201,Indianapolis,Indiana,2026-05-13,57.2,50.1,Moderate rain
46201,Indianapolis,Indiana,2026-05-14,62.7,45.0,Sunny
94102,San Francisco,California,2026-05-12,60.5,50.4,Overcast
94102,San Francisco,California,2026-05-13,58.9,52.2,Patchy rain nearby
94102,San Francisco,California,2026-05-14,61.4,50.5,Sunny
80201,Denver,Colorado,2026-05-12,77.8,55.3,Sunny
80201,Denver,Colorado,2026-05-13,87.8,57.0,Patchy rain nearby
80201,Denver,Colorado,2026-05-14,84.2,59.1,Patchy rain nearby
02101,Boston,Massachusetts,2026-05-12,64.4,41.4,Sunny
02101,Boston,Massachusetts,2026-05-13,59.4,46.1,Patchy rain nearby
02101,Boston,Massachusetts,2026-05-14,58.4,53.9,Moderate rain
